               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.045976,            0.030111,           0.0031246,             0.59466,             0.76905,             0.70934,             0.39846,            0.036758,            0.016375,           0.0024181,           0.0093733,           0.0093733,           0.0093733
                  36,            0.043254,            0.027804,           0.0023834,             0.57311,             0.63644,              0.6105,             0.26035,            0.040643,            0.016396,           0.0029489,           0.0093369,           0.0093369,           0.0093369
                  37,            0.045113,            0.027655,           0.0024351,             0.60384,              0.5636,             0.62879,             0.31322,            0.038532,            0.016649,           0.0026695,           0.0092995,           0.0092995,           0.0092995
                  38,            0.041411,             0.02627,           0.0026688,              0.4897,             0.79463,             0.68938,             0.39802,             0.03697,            0.016207,           0.0027127,           0.0092611,           0.0092611,           0.0092611
                  39,            0.041992,            0.029397,           0.0025504,             0.60186,              0.6382,             0.66057,             0.38828,            0.035097,            0.016424,           0.0025365,           0.0092219,           0.0092219,           0.0092219
                  40,            0.040141,            0.028876,           0.0020732,             0.64337,             0.58174,             0.64671,             0.37703,             0.03636,            0.016948,           0.0032534,           0.0091817,           0.0091817,           0.0091817
                  41,            0.041166,            0.028498,           0.0020016,             0.55733,             0.74101,             0.65566,             0.38311,            0.035954,            0.016531,           0.0023861,           0.0091406,           0.0091406,           0.0091406
                  42,            0.040392,            0.029079,           0.0020212,              0.6233,             0.80355,             0.69761,             0.39258,            0.035347,            0.016678,           0.0024608,           0.0090986,           0.0090986,           0.0090986
                  43,             0.03959,            0.028351,            0.002247,             0.72219,             0.76932,             0.73553,              0.3924,             0.03519,            0.017182,           0.0024125,           0.0090557,           0.0090557,           0.0090557
                  44,            0.038273,            0.027077,            0.001973,             0.63228,              0.7651,             0.70722,             0.37751,            0.035679,            0.016587,           0.0028283,           0.0090119,           0.0090119,           0.0090119
                  45,             0.03614,             0.02682,           0.0020696,             0.66297,              0.6841,              0.6976,             0.40117,            0.035807,             0.01672,           0.0025532,           0.0089673,           0.0089673,           0.0089673
                  46,            0.033436,            0.026295,           0.0018508,             0.63412,             0.74187,             0.69431,             0.39911,            0.035389,              0.0165,           0.0021183,           0.0089218,           0.0089218,           0.0089218
                  47,            0.036094,            0.026914,           0.0019442,             0.64056,             0.78456,             0.71271,              0.4137,            0.035396,            0.016629,           0.0019816,           0.0088755,           0.0088755,           0.0088755
                  48,            0.039822,            0.025741,           0.0017008,             0.67035,             0.77477,             0.72517,             0.42291,             0.03471,            0.016171,           0.0019446,           0.0088283,           0.0088283,           0.0088283
                  49,            0.035043,            0.027192,            0.001484,             0.70406,             0.74423,             0.73569,             0.42269,            0.034572,            0.016679,           0.0021141,           0.0087804,           0.0087804,           0.0087804
                  50,            0.037145,             0.02679,           0.0021567,              0.6394,             0.81885,             0.71156,             0.41806,            0.033227,            0.016639,           0.0021542,           0.0087316,           0.0087316,           0.0087316
                  51,            0.033951,            0.027282,           0.0021532,              0.5929,             0.77547,             0.67712,             0.39524,            0.034133,            0.016859,           0.0021184,            0.008682,            0.008682,            0.008682
                  52,            0.034858,            0.025744,           0.0016339,             0.66056,             0.77408,             0.71363,             0.44162,            0.034825,            0.016379,           0.0021101,           0.0086316,           0.0086316,           0.0086316
                  53,            0.036388,            0.027209,           0.0018534,             0.70998,             0.78456,             0.73163,             0.42521,            0.034349,            0.016319,           0.0023023,           0.0085805,           0.0085805,           0.0085805
                  54,             0.03667,            0.023436,           0.0017659,             0.70228,             0.75986,              0.7493,             0.42579,            0.034416,            0.016715,            0.002177,           0.0085286,           0.0085286,           0.0085286
                  55,            0.032531,            0.026217,           0.0014346,             0.67926,             0.80313,              0.7597,             0.43624,            0.033711,            0.015761,           0.0019216,           0.0084759,           0.0084759,           0.0084759
                  56,            0.034017,            0.026425,             0.00146,              0.7206,             0.72908,             0.77179,             0.46708,             0.03292,            0.015779,           0.0019872,           0.0084225,           0.0084225,           0.0084225
                  57,            0.034704,            0.026235,           0.0015864,             0.74731,              0.7124,             0.75183,             0.45911,            0.032937,            0.016278,           0.0019962,           0.0083684,           0.0083684,           0.0083684
                  58,            0.033866,            0.024399,           0.0018288,             0.73047,             0.71064,             0.74755,             0.44362,            0.033505,            0.016254,           0.0019609,           0.0083136,           0.0083136,           0.0083136
                  59,            0.031246,            0.025211,           0.0014264,             0.72059,             0.70167,             0.73311,             0.45145,            0.031564,            0.016426,           0.0018376,           0.0082581,           0.0082581,           0.0082581
